search,rank,title,year,month,day
을지로3가 맛집,1,화육계,2024,5,23
을지로3가 맛집,2,을지 장만옥,2024,5,23
을지로3가 맛집,3,다케오 호르몬 데판야끼,2024,5,23
을지로3가 맛집,4,을지깐깐,2024,5,23
을지로3가 맛집,5,청와옥 을지로3가직영점,2024,5,23
을지로3가 와인,1,어나더레벨,2024,5,23
을지로3가 와인,2,르템플,2024,5,23
을지로3가 와인,3,루엘 드 샹들리에,2024,5,23
을지로3가 와인,4,드므,2024,5,23
을지로3가 와인,5,언오디너리,2024,5,23
을지로3가 위스키,1,르템플,2024,5,23
을지로3가 위스키,2,어나더레벨,2024,5,23
을지로3가 위스키,3,루엘 드 샹들리에,2024,5,23
을지로3가 위스키,4,코너숍,2024,5,23
을지로3가 위스키,5,선셋레코드,2024,5,23
을지로3가 술집,1,을지로 골목집,2024,5,23
을지로3가 술집,2,어나더레벨,2024,5,23
을지로3가 술집,3,르템플,2024,5,23
을지로3가 술집,4,을지 장만옥,2024,5,23
을지로3가 술집,5,주마등,2024,5,23
